id	new	current_study
C0FF30338F	Paramecium chlorelligerum HSG1-11 KX669629.1	False
55CEC58B7B	Paramecium putrinum ETu 7-4 MG573199.1	False
F48FEA8E3D	Paramecium bursaria Ek JF708936.1	False
61411D15C0	Paramecium bursaria HZ75-5 JF708933.1	False
757B2A02BB	Paramecium bursaria T316 JF708925.1	False
87876A753A	Paramecium lynni SD11-9	True
D4CE20BD5A	Paramecium lynni HSG3-10 	True
7EB0465780	Paramecium fokini PP-2	True
F2145CCC2C	Paramecium fokini T42-1 	True
70890594D2	Paramecium lynni PO16-1	True
4571A227E6	Paramecium fokini CyL3-21 	True
317A91CB34	Paramecium multimicronucleatum ChP5-3	True
F5F4A73DA3	Paramecium multimicronucleatum ChP10-2	True
7AB785E8EB	Paramecium lynni SP-1	True
8E203F786B	Paramecium fokini SMM81-1 	True
5EDFE55A10	Paramecium multimicronucleatum K4-2	True
4C5F4E4CDE	Paramecium multimicronucleatum L72-1 	True
E24B3A4289	Paramecium multimicronucleatum LB-1 	True
7760F61162	Paramecium multimicronucleatum OmN-1	True
3232DFC4C6	Paramecium fokini PL4-1	True
E4C28EC0EC	Paramecium multimicronucleatum ThK-16	True
06BCC826BF	Paramecium multimicronucleatum MSA-5	True
A50EB0413A	Paramecium lynni ShKm41 	True
3B4F40C1B6	Paramecium caudatum K5-2	True
754C622D24	Paramecium fokini FCB10-1	True
AFED3029BB	Paramecium multimicronucleatum CyP5-3	True
0C044FF14F	Paramecium multimicronucleatum SK6-3	True
20D1316E5D	Paramecium multimicronucleatum R51-6 	True
ABB2EFBA0D	Paramecium multimicronucleatum Or4-3	True
7337CC22D1	Paramecium multimicronucleatum OP13 JF741217.1	False
55622BCCF2	Paramecium multimicronucleatum AB9-8 JF741240.1	False
E5A80E2658	Paramecium multimicronucleatum MB2-5 JF741213.1	False
1B54F3DD84	Paramecium multimicronucleatum Ns2-16 JF741224.1	False
4EC675C343	Paramecium multimicronucleatum Vv171-1 JF741234.1	False
5C6FFC6CBD	Paramecium caudatum CA JF304170.1	False
0E763B90CC	Paramecium sonneborni ATCC 30995 JF304167.1	False
1AFEB97DB8	Paramecium tredecaurelia 209 JF304165.1	False
BAFBB32B3C	Paramecium primaurelia CyL4-1 MH185950.1	False
954787BF1B	Paramecium primaurelia 16/IP 17-21 MG573196.1	False
7D994C6B64	Paramecium triaurelia 324 JX010642.1	False
5E7A71725D	Paramecium schewiakoffi Sh1-38 JF304168.1	False
6A22C8816B	Paramecium pentaurelia Nr1-10 MG573197.1	False
F80FB0D01F	Paramecium jenningsi MVP1 KY635365.1	False
FFCD65A9C1	Paramecium primaurelia 16/IP 4-1 MG573195.1	False
A9D77FB142	Paramecium primaurelia ThK-1 MG573194.1	False
05EB3CB2EF	Paramecium jenningsi FL KF110697.1	False
391B7278BF	Paramecium jenningsi IB KF110700.1	False
E7A249B71B	Paramecium jenningsi SA JF304171.1	False
76B85155B2	Paramecium jenningsi JU KF110706.1	False
A3B2854DF9	Paramecium jenningsi KTI KY635364.1	False
85358EE9CD	Paramecium jenningsi U KF110698.1	False
49EEF6D205	Paramecium tetraurelia S JF304164.1	False
6F9419D58D	Paramecium quadecaurelia 328 JX010635.1	False
2B7EA06615	Paramecium undecaurelia 219 JX010656.1	False
A100F8A811	Paramecium biaurelia isolate US_Bl 12I1 KX712111.1	False
A22A7EB077	Paramecium biaurelia isolate US_Bl 15I1 KU729877.1	False
84CE765D07	Paramecium biaurelia isolate US_Bl 11III1 KU729876.1	False
FE6BF56E99	Paramecium nephridiatum Sr 2-6 MG573198.1	False
D4804FA5A3	Paramecium polycaryum Khb7-20 JN998651.1	False
6D0466B8F0	Paramecium sp. G1-2 MN264575.1	False
3FF25BC3AE	Paramecium sp. C8-2 MN264574.1	False
6318BB1CDF	Paramecium sp. V105-1 MN264572.1	False
B23CFDAC0B	Paramecium multimicronucleatum Wg8 JF741239.1	False
77F8203663	Paramecium multimicronucleatum PrO166-3 JF741237.1	False
B8C3E33A41	Paramecium multimicronucleatum TRB101-4 JF741231.1	False
E7FF713006	Paramecium multimicronucleatum TRB101-1 JF741230.1	False
2F09B16F03	Paramecium multimicronucleatum Kr154-4 JF741227.1	False
0CECC9DB9F	Paramecium multimicronucleatum Kr113-3 JF741226.1	False
079BC8FC67	Paramecium multimicronucleatum Ir3-6 JF741225.1	False
AE9BCC8A85	Paramecium multimicronucleatum D237-6 JF741219.1	False
DC061FA098	Paramecium multimicronucleatum SPb63-2 JF741216.1	False
AA8A550A83	Paramecium multimicronucleatum SR212-9 JF741215.1	False
3B98E87038	Paramecium multimicronucleatum SR213-1 JF741214.1	False
9434C0FD7E	Paramecium multimicronucleatum ITR JF741210.1	False
A3594B2C70	Paramecium multimicronucleatum AMA5-7 MN264571.1	False
F3D512F60D	Paramecium multimicronucleatum AM MN264570.1	False
FEAC225A4C	Paramecium multimicronucleatum GB4-26 MN264569.1	False
2DD5E56A37	Paramecium multimicronucleatum BR JF304172.1	False
9F17B676E6	Paramecium multimicronucleatum US_Bl 16I1 MK595741.1	False
A28E935B8D	Paramecium duboscqui In05 HE819875.1	False
KY996811.1	Paramecium calkinsi CyL 8-33 KY996811.1	False
MG953261.1	Paramecium polycaryum SP14-1 MG953261.1	False
MG953259.1	Paramecium polycaryum Spa15-8 MG953259.1	False
GN36	Paramecium woodruffi GN3-6	True
PrO1657	Paramecium woodruff PrO165-7	True
caudOr44	Paramecium caudatum Or4-4	True
Pcaud_43c3d	Paramecium caudatum JMSD00000000.1	False
FT8	Paramecium sp. FT8	True
