,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_N6
Pmult_OmN-1,100.0,98.682,97.497,96.443,95.652,95.389,95.389,95.141,95.52,91.568,92.754,91.316,92.517,92.368
Pmult_R51-6,98.682,100.0,97.233,96.443,96.179,95.652,95.916,95.455,95.784,91.7,93.544,91.842,93.333,93.158
Pmult_SK6-3,97.497,97.233,100.0,96.311,95.784,94.993,95.52,95.141,95.125,91.974,92.622,91.579,92.517,92.237
Pmult_C3,96.443,96.443,96.311,100.0,98.024,96.047,97.76,95.611,96.179,91.7,93.149,92.095,93.061,92.895
Pmult_CyP5-3,95.652,96.179,95.784,98.024,100.0,95.652,99.736,94.984,95.784,91.853,93.149,91.995,92.925,92.895
Pmult_ChP3-4,95.389,95.652,94.993,96.047,95.652,100.0,95.389,99.687,99.868,90.25,91.436,90.25,91.156,91.184
Pmult_ThK-16,95.389,95.916,95.52,97.76,99.736,95.389,100.0,94.671,95.52,91.59,92.885,91.732,92.653,92.632
Pmult_MB2-5,95.141,95.455,95.141,95.611,94.984,99.687,94.671,100.0,99.687,90.079,90.752,89.969,90.752,90.454
Pmult_IP2-1,95.52,95.784,95.125,96.179,95.784,99.868,95.52,99.687,100.0,90.382,91.568,90.382,91.293,91.316
Pfok_strain12,91.568,91.7,91.974,91.7,91.853,90.25,91.59,90.079,90.382,100.0,92.49,95.784,92.507,92.105
Pfok_CyL3-21,92.754,93.544,92.622,93.149,93.149,91.436,92.885,90.752,91.568,92.49,100.0,93.412,99.864,99.605
Pfok_US_Bl_16I1,91.316,91.842,91.579,92.095,91.995,90.25,91.732,89.969,90.382,95.784,93.412,100.0,93.324,93.026
Pfok_strain14,92.517,93.333,92.517,93.061,92.925,91.156,92.653,90.752,91.293,92.507,99.864,93.324,100.0,99.457
Pfok_N6,92.368,93.158,92.237,92.895,92.895,91.184,92.632,90.454,91.316,92.105,99.605,93.026,99.457,100.0
